congruent,base_sent
Так будущую запись называют сами музыканты .,Музыканты называют запись
После этого девушку вывела охрана .,Охрана вывела девушку
Женщина назвала такой наряд неуместным .,Женщина назвала наряд
Критики смешано оценили сие творение .,Критики оценили творение
Первую помощь ей оказал сторож кладбища .,Сторож оказал помощь
В результате стрельбы множество человек получили ранения .,Множество получили ранения
На это обратили внимание пользователи сети .,Пользователи обратили внимание
Через несколько часов танки покинули палестинскую территорию .,Танки покинули территорию
"Получив заявление , полиция начала проверку .",Полиция начала проверку
Большую проблему доставили два близких разрыва бомб .,Разрыва доставили проблему
Граждане получили прямые демократические права .,Граждане получили права
Вместо весеннего тепла горожане получили холодный циклон .,Циклон получили
"Герой получит окончательное гражданство , родство .",Герой получит гражданство
Но владелец магазина все обращения игнорировал .,Владелец игнорировал обращения
Его защита подала жалобу на арест .,Защита подала жалобу
Подписчиков испугал вид руки девушки .,Подписчиков испугал вид
Иногда реалистичные изображения описывали явления повседневной жизни .,Изображения описывали явления
Все ходатайства защиты суд отклонил .,Суд отклонил ходатайства
Суд удовлетворил требования прокурора полностью .,Суд удовлетворил требования
Эту работу критика назвала уникальным экспериментом .,Критика назвала работу
После этого школьник выбросил нож .,Школьник выбросил нож
Его тело преступники сбросили в реку .,Преступники сбросили тело
Парень ставит камеру напротив экскаватора .,Парень ставит камеру
Название группы обычно вызывает много вопросов .,Название вызывает вопросов
Акустические течения имеют полезные применения .,Течения имеют применения
На следующий день животные дают охотникам бой .,Животные дают бой
Сам подсудимый не признал свою вину .,Подсудимый признал вину
Вид включает в себя два подвида .,Вид включает подвида
Ранее прокуратура также проводила проверку .,Прокуратура проводила проверку
И посетители вновь не соблюдали дистанцию .,Посетители соблюдали дистанцию
"Таким образом , суд поддержал требование прокуратуры .",Суд поддержал требование
Полная ликвидация возгорания заняла полтора часа .,Ликвидация заняла часа
Это отличие вызвало огромный резонанс в обществе .,Отличие вызвало резонанс
Специалиста такого уровня искали почти год .,Искали год
Наше издание выясняет остальные подробности случившегося .,Издание выясняет подробности
Основной ее целью чиновники назвали увеличение пенсий .,Чиновники назвали увеличение
Системы входа решают ограниченный класс задач .,Системы решают класс
При этом его отряд понёс большие потери .,Отряд понёс потери
Сам пострадавший сейчас проходит курс лечения .,Пострадавший проходит курс
Затем хакеры сменили систему защиты .,Хакеры сменили систему
Эта рукопись уже показывала изменения .,Рукопись показывала изменения
В настоящее время проект ищет разработчиков .,Проект ищет разработчиков
Дорожное покрытие также ждет капитальный ремонт .,Покрытие ждет ремонт
Глава государства имеет право помилования .,Глава имеет право
В настоящее время спасатели ведут разбор завалов .,Спасатели ведут разбор
Ежегодно статуя привлекает около миллиона туристов .,Статуя привлекает туристов
"Как отмечалось , ранение получил один полицейский .",Полицейский получил ранение
Расширенные регистры сохраняют обратную совместимость .,Регистры сохраняют совместимость
Однако исследуют игровые зоны одновременно два персонажа .,Персонажа исследуют зоны
Эта роспись повторяет технологию создателей старинных повозок .,Роспись повторяет технологию
Кубинские власти подтвердили это сообщение .,Власти подтвердили сообщение
Его имя носит процесс Кокса .,Имя носит процесс
Остальные записи делает его пресс-служба .,Пресс-служба делает его
"Думаю , его истории придумали хорошую концовку .",Истории придумали концовку
Но эта реформа не достигла поставленных задач .,Реформа достигла задач
Несколько инвесторов уже начали строительство развлекательных центров .,Инвесторов начали строительство
Кварки имеют дробные электрические заряды .,Кварки имеют заряды
Позднее представитель группировки опроверг эти сведения .,Представитель опроверг сведения
Американская структура аккумулировала большую часть активов .,Структура аккумулировала часть
Китайское правительство поддерживает данные проекты .,Правительство поддерживает проекты
Такое постановление опубликовал сегодня Конституционный суд .,Суд опубликовал постановление
Книга произвела огромное впечатление на итальянцев .,Книга произвела впечатление
Для этого турне коллектив подготовил специальную программу .,Коллектив подготовил программу
Мир меняется каждый миг каждого дня .,Миг меняется
Два подвида всё же имеют отличия .,Подвида имеют отличия
Все четверо подсудимых признали факт получения взяток .,Подсудимых признали факт
По меньшей мере трое полицейских получили ранения .,Полицейских получили ранения
Постепенно сферы накапливают весьма существенный заряд .,Накапливают заряд
Сейчас пароходство выплачивает долги по зарплате .,Пароходство выплачивает долги
Избранник народа и мужчина устроили драку .,Избранник устроили драку
Самки обычно откладывают два яйца .,Самки откладывают яйца
Эти актрисы потеряли божественную искру .,Актрисы потеряли искру
В конце сентября правительство неожиданно меняет позицию .,Правительство меняет позицию
Труп обнаружили полицейские уже на следующий день .,Полицейские обнаружили труп
Обруч чаще всего имеет форму круга .,Обруч имеет форму
На данный момент следователи восстановили картину произошедшего .,Следователи восстановили картину
Американцы оставили город через три года .,Американцы оставили город
Семь несовершеннолетних получили травмы разной степени тяжести .,Несовершеннолетних получили травмы
Их лабораторные анализы показали отрицательный результат .,Анализы показали результат
Эти опыты показали несостоятельность его идеи .,Опыты показали несостоятельность
Общее время стоянки поезда составила три часа .,Время составила часа
Другие горячие линии продолжат свою работу .,Линии продолжат работу
В результате ранения получили два человека .,Человека получили ранения
Крыса выбрала раствор воды с крахмалом .,Крыса выбрала раствор
Его речь транслировали местные телеканалы .,Телеканалы транслировали речь
По факту произошедшего прокуратура инициировала проверку .,Прокуратура инициировала проверку
Тогда у потерпевшего злоумышленники забрали сотовый телефон .,Злоумышленники забрали телефон
Игроки команды не получают премии два года .,Игроки получают премии
Причину пожара устанавливают специалисты ведомства .,Специалисты устанавливают причину
Обслуживающий персонал склада составляют всего шесть человек .,Персонал составляют человек
Одиночные установки имели лишь местное управление .,Управление имели установки
А потом шахматная судьба сделала неожиданный пируэт .,Судьба сделала пируэт
Вопрос о наказании женщины решит мировой суд .,Суд решит
Его высота составит более полутора километров .,Высота составит километров
Сотрудники ведомств оперативно отрабатывают практические занятия .,Сотрудники отрабатывают занятия
Женщина подала жалобу в местную транспортную компанию .,Женщина подала жалобу
Сборную страны представляли семь человек .,Человек представляли сборную
После чего подозреваемый покончил жизнь самоубийством .,Подозреваемый покончил жизнь
На крик девушки прибежали дрессировщики .,Дрессировщики прибежали
Ущерб составил почти миллион рублей .,Ущерб составил рублей
Подсудимый признал свою вину частично .,Подсудимый признал вину
Школы стремительно осваивают дистанционные технологии обучения .,Школы осваивают технологии
Его профессиональную карьеру также нарушали постоянные травмы .,Нарушали травмы
Из земли бессмертные братья сделали женщину .,Братья сделали женщину
Однако власти согласовали мероприятие по бульварам .,Власти согласовали мероприятие
Пламя заметили соседи и вызвали пожарных .,Соседи заметили пламя
Не дай бог такого развития событий .,Бог дай развития
После этого игра приняла нервный характер .,Игра приняла характер
В такую сумму ведомство оценило повреждения двери .,Ведомство оценило повреждения
При этом сама команда испытывала трудности .,Команда испытывала трудности
Однако полиция быстро отыскала злоумышленника .,Полиция отыскала злоумышленника
Два наших кандидата выиграли одномандатные округа .,Кандидата выиграли округа
В зале суда мужчина признал свою вину .,Мужчина признал вину
Решение принял совет директоров общества .,Совет принял решение
На следующий день город захватили турки .,Турки захватили город
В Восточной конференции команда занимает пятое место .,Команда занимает место
Также планы по работе получают силовые ведомства .,Ведомства получают планы
При взрыве получили ранение три человека .,Человека получили ранение
На своих страницах журнал помещал новинки литературы .,Журнал помещал новинки
Теперь пара соблюдает строгий режим изоляции .,Пара соблюдает режим
Исполнение решения контролирует прокуратура района .,Прокуратура контролирует исполнение
Позже представитель артиста назвал причину госпитализации .,Представитель назвал причину
Поиск россиянина ведет местная полиция .,Полиция ведет поиск
Эти сведения официально опровергла прокуратура республики .,Прокуратура опровергла сведения
Роль девушки последовательно исполняют участницы группы .,Участницы исполняют роль
По результатам проверки полицейские примут обоснованное решение .,Полицейские примут решение
Подводная часть корпуса получила повреждения .,Часть получила повреждения
Новое название отражает расширение направлений деятельности предприятия .,Название отражает расширение
"Погода предстоит облачная , с прояснениями .",Облачная предстоит
В постсоветское время завод дважды пережил банкротство .,Завод пережил банкротство
Мистер Блик испытывает к ней симпатию .,Мистер испытывает симпатию
Сам музыкант исполнил в спектакле роль рассказчика .,Музыкант исполнил роль
На суде фигуранты дела свою вину признали .,Фигуранты признали вину
Эти блоки производят операции или вычисления процессора .,Блоки производят операции
Население республики получало газету бесплатно .,Население получало газету
Движение поддержали деятели культуры и общественные организации .,Деятели поддержали движение
Партия предлагает три другие площадки .,Партия предлагает площадки
Территорию монастыря занял дом отдыха .,Дом занял территорию
Процесс доводки двигателя занял много времени .,Процесс занял времени
Это свойство допускает многофункциональную интерпретацию содержания текста .,Свойство допускает интерпретацию
А вскоре полицейские задержали и самого стрелка .,Полицейские задержали стрелка
Ныне эта метода потеряла своё значение .,Метода потеряла значение
Проверку обстоятельств гибели охранника проводит Следственный комитет .,Комитет проводит проверку
Правительство региона подпишет соответствующее постановление .,Правительство подпишет постановление
Видео посмотрели больше восьми тысяч человек .,Человек посмотрели видео
Данный приказ отменял действие предыдущих .,Приказ отменял действие
Высота волн будет достигать шести метров .,Высота достигать метров
Однако такая оценка не имеет независимого подтверждения .,Оценка имеет подтверждения
Эти люди выкрикивали антифашистские лозунги .,Люди выкрикивали лозунги
Сейчас сотрудники полиции выясняют все обстоятельства случившегося .,Сотрудники выясняют обстоятельства
Дорога на автобусе занимает полтора часа .,Дорога занимает часа
Его проповедь приносила обильные плоды .,Проповедь приносила плоды
Владельцы отделов подсчитывают нанесенный ущерб .,Владельцы подсчитывают ущерб
В суде мужчина частично признал свою вину .,Мужчина признал вину
Участники получали также возможность выиграть мотоцикл .,Участники получали возможность
Дорожное препятствие разнесло капот машины .,Препятствие разнесло капот
Пограничники в ответ открыли огонь .,Пограничники открыли огонь
Сейчас глав регионов охраняет Федеральная служба охраны .,Служба охраняет глав
"Да , ребята совершили абсолютно недопустимые поступки .",Ребята совершили поступки
Сейчас областные приставы исполняют эти решения .,Приставы исполняют решения
Роды принимали сразу девять специалистов .,Роды принимали специалистов
Следователи устанавливают личности других членов банды .,Следователи устанавливают личности
Милиционеры ищут третьего предполагаемого участника преступления .,Милиционеры ищут участника
Такое решение принял Арбитражный суд .,Суд принял решение
Почти треть жителей составляют студенты .,Студенты составляют
В комментариях пользователи портала поддержали мужчину .,Пользователи поддержали мужчину
Птицы образуют сложные социальные группы .,Птицы образуют группы
После большевистского переворота особняк занял отряд красноармейцев .,Особняк занял отряд
Машины получили очень сильные повреждения .,Машины получили повреждения
Внесение данных поправок не предполагает проведения референдума .,Внесение предполагает проведения
Все бельгийцы разделяют эту безмерную скорбь .,Бельгийцы разделяют скорбь
Власти просят горожан сдавать кровь .,Власти просят горожан
Передовой полк наткнулся на контратаковавшие танки противника .,Полк наткнулся танки
Эти растворители довольно часто имеют резкий запах .,Растворители имеют запах
"Следуя праву сильного , солдаты оттесняют женихов .",Солдаты оттесняют женихов
Внешний проводник изнутри имеет цилиндрическую форму поверхности .,Проводник имеет форму
Вес устройства не превысит одного килограмма .,Вес превысит килограмма
Ураган охватил практически всю страну .,Ураган охватил страну
"Кроме того , наблюдатели зафиксировали ряд нарушений .",Наблюдатели зафиксировали ряд
В этих происшествиях пять человек получили травмы .,Человек получили травмы
Но при этом отряды архиепископа сломали строй .,Отряды сломали строй
Водное такси соединяет некоторые точки парка .,Такси соединяет точки
Восемь мужских сборных разыграли один комплект наград .,Сборных разыграли комплект
Все эти сообщения не получили подтверждения .,Сообщения получили подтверждения
Ограничительные мероприятия длились две недели .,Недели длились
Территория собора заняла весь сквер .,Территория заняла сквер
Результаты наблюдений медики объяснили следующим образом .,Медики объяснили результаты
Сиденья имеют обивку синего цвета .,Сиденья имеют обивку
Полиция устанавливает все обстоятельства происшедшего .,Полиция устанавливает обстоятельства
Среди прочего законопроект регламентирует свадебные церемонии .,Законопроект регламентирует церемонии
Площадь возгорания достигла одной тысячи квадратных метров .,Площадь достигла метров
Батарея сорок часов вела непрерывный бой .,Батарея вела бой
Адвокат считает решение суда незаконным .,Адвокат считает решение
Группа открыла церемонию вручения наград .,Группа открыла церемонию
Но сроки лишения свободы обоих приговоров совпадали .,Приговоров совпадали
Томские лошади значительно улучшили новую породу .,Лошади улучшили породу
Мужчина схватил животное и понес к выходу .,Мужчина схватил животное
Кровля символизирует кольчугу русских воинов .,Кровля символизирует кольчугу
Девочка в результате этого получила травмы .,Девочка получила травмы
Нападавшие забрали у рабочих магнитный ключ .,Нападавшие забрали ключ
Получат помощь и школьники из категории льготников .,Школьники получат помощь
Улицы многих греческих городов носят его имя .,Улицы носят имя
Активизация поисковых работ требовала услуг авиации .,Активизация требовала услуг
Мужчину осмотрели врачи скорой помощи .,Врачи осмотрели мужчину
Чиновник отрицает получение должности первого зама .,Чиновник отрицает получение
Новый документ депутаты рассмотрят осенью .,Депутаты рассмотрят документ
Здесь абоненты получают поистине безграничные возможности .,Абоненты получают возможности
Зачастую кинематограф опускает воплощение данного персонажа .,Кинематограф опускает воплощение
Также суд назначил ему трехлетний испытательный срок .,Суд назначил срок
Канал предлагает туристам различные возможности .,Канал предлагает возможности
Их разговор случайно подслушивает сержант Кошачий .,Подслушивает сержант
Суд признал управляющую компанию виновной .,Суд признал компанию
Лидер государства затронул ряд важных проблем .,Лидер затронул ряд
Украинец победил россиянина техническим нокаутом .,Украинец победил россиянина
В итоге суд признал мужчину виновным .,Суд признал мужчину
Население восприняло этот шаг без энтузиазма .,Население восприняло шаг
Герб представляет только пейзажную характеристику и .,Герб представляет характеристику
Сами музыканты опровергают подобные догадки .,Музыканты опровергают догадки
Диагностика обычно не вызывает затруднений .,Диагностика вызывает затруднений
Новый механизм расширяет число доступных рекламных форматов .,Механизм расширяет число
Звук выстрела изобразили учителя при помощи хлопушки .,Учителя изобразили звук
Чемпион намного превзошёл противника в точности ударов .,Чемпион превзошёл противника
В результате аварии ранения получили несколько человек .,Человек получили ранения
Прокуратура района держит расследование на контроле .,Прокуратура держит расследование
Дизайн чемпионского пояса менялся множество раз .,Множество менялся
Причиной аварии эксперты считают плохие погодные условия .,Эксперты считают условия
Корпус имел архаичный поперечный набор .,Корпус имел набор
Создатель мобильника не впервые критикует современные телефоны .,Создатель критикует телефоны
Авторы передачи опровергли эти слухи .,Авторы опровергли слухи
Осевое завершение герба представляет собой водная тема .,Тема представляет
Ранения также получили два его охранника .,Получили охранника
Фильм получил крайне негативные отзывы .,Фильм получил отзывы
В ответ израильтяне открыли артиллерийский огонь .,Израильтяне открыли огонь
Следственный комитет официально не называл марку автомобиля .,Комитет называл марку
После этого постояльцы продолжили застолье .,Постояльцы продолжили застолье
Многие имели проблемы с психикой .,Многие имели проблемы
Полиция также разместила видеозапись инцидента .,Полиция разместила видеозапись
Водитель экипажа задел трехлетнего мальчика передним бампером .,Водитель задел мальчика
Все голы россияне пропустили во втором тайме .,Россияне пропустили голы
В казанском аэропорту борт встретила скорая помощь .,Встретила помощь
"По его словам , процесс набирает обороты .",Процесс набирает обороты
Второй этап предполагал уже непосредственно модернизацию истребителей .,Этап предполагал модернизацию
Мужчина продавал запрещенное вещество в пределах города .,Мужчина продавал вещество
Лопатки вентилятора будут изменять угол атаки .,Лопатки изменять угол
В обоих случаях мошенничества разбирается полиция .,Полиция разбирается мошенничества
Последние годы жизни испытывал сильную нужду .,Годы испытывал нужду
Пост о смерти малыша опубликовали его родители .,Родители опубликовали пост
В ходе стычки три охранника получили ранения .,Охранника получили ранения
Позже телеканал показал этот фильм целиком .,Телеканал показал фильм
"– Видите , есть отличия в менталитете .",Отличия есть
Деньги женщина несла в кармане куртки .,Женщина несла деньги
Главный финал не выявил победителя .,Финал выявил победителя
Помощь модели оценила мама мальчика .,Мама оценила помощь
Ее слова встретили одобрение в чате .,Встретили одобрение
Работники канцелярии составляли интеллектуальную элиту государства .,Работники составляли элиту
Хозяин бара сразу вызвал стражей порядка .,Хозяин вызвал стражей
Ситуация требует вмешательства на высшем уровне .,Ситуация требует вмешательства
Греческая история доставляет мне большое удовольствие .,История доставляет удовольствие
Новый владелец получил доступ к чужим финансам .,Владелец получил доступ
Эти футболисты составили костяк легендарной команды .,Футболисты составили костяк
Таким образом столб совершает движение по дуге .,Столб совершает движение
Общая сумма долга женщины превышает миллион рублей .,Сумма превышает рублей
От слова клеть происходит слово клетка .,Клетка происходит
Подоспевшая пехота завершила разгром врага .,Пехота завершила разгром
Также шведы потерпели одно поражение .,Шведы потерпели поражение
В финале россияне обыграли бразильцев .,Россияне обыграли бразильцев
Раскопки заняли три полевых сезона .,Раскопки заняли сезона
Специалисты устанавливают все обстоятельств происшествия .,Специалисты устанавливают обстоятельств
Молодые листья имеют пурпурную окраску .,Листья имеют окраску
Дорога представляет собой замкнутый контур .,Дорога представляет контур
Родственники жертв выразили удовлетворение постановлением присяжных .,Родственники выразили удовлетворение
Глава Воронежской области поддержал решение Селянина .,Глава поддержал решение
Оба сезона сериала получили различные оценки критиков .,Сезона получили оценки
Двое полицейских из оцепления получают ранения .,Полицейских получают ранения
Супруга и друзей повергла в море слез .,Супруга повергла слез
В церемонии принял участие сам футболист .,Футболист принял участие
Старая мать продаёт холостого сына .,Мать продаёт сына
Другие посетители не проявили таких бурных эмоций .,Посетители проявили эмоций
Покупатель выложил за артефакт три миллиона рублей .,Покупатель выложил рублей
Полиция проводит расследование обстоятельств происшедшего .,Полиция проводит расследование
Очевидцы пожара вызвали экстренные службы .,Очевидцы вызвали службы
"Кроме того , здание лишилось стекол .",Здание лишилось стекол
Осмотрев животное эксперты сделали несколько выводов .,Эксперты сделали выводов
Максимальное наказание предусматривает десять лет лишения свободы .,Наказание предусматривает лет
Основу экономики острова составляет туризм .,Туризм составляет
Все собаки сдали норматив и получили дипломы .,Собаки сдали норматив
При этом девять депутатов пропустили голосование .,Депутатов пропустили голосование
Сторона обвинения выразила удовлетворение вердиктом .,Сторона выразила удовлетворение
Недавно друг и адвокат писательницы нашел рукопись .,Друг нашел рукопись
Эта грамота быстро дала положительные результаты .,Грамота дала результаты
Каждый перевозчик назвал свою цифру .,Перевозчик назвал цифру
Многие жители села имеют свои библиотеки .,Жители имеют библиотеки
Также ряд воинских частей получат детские сады .,Ряд получат сады
Наверняка экономисты разработали множество моделей ?,Экономисты разработали множество
Его присутствие привлекало внимание жителей деревни .,Присутствие привлекало внимание
Мост представляет собой стратегически важный объект .,Мост представляет объект
Злоумышленники обещали помощь в организации похорон .,Злоумышленники обещали помощь
Некоторые владельцы прожили в нем пару лет .,Владельцы прожили пару
"Кроме того , девочка забросила школу .",Девочка забросила школу
Лесные мыши предпочитают открытые участки леса .,Мыши предпочитают участки
Обязанности президента исполняет спикер парламента .,Спикер исполняет обязанности
Большинство раненых получили незначительные повреждения .,Большинство получили повреждения
Кейсы не имеют правильного решения .,Кейсы имеют решения
Спасатели вывели из здания трех человек .,Спасатели вывели человек
Но полицейские напрасно разыскивали уличного грабителя .,Полицейские разыскивали грабителя
Впоследствии актрисы продолжили своё знакомство .,Актрисы продолжили знакомство
Медики назначили пенсионеру необходимые исследования и анализы .,Медики назначили исследования
Депутаты встретили принятие решения аплодисментами .,Депутаты встретили принятие
"Погода ожидается облачная , пройдут небольшие дожди .",Облачная ожидается
Большинство жителей исполняют эти требования .,Большинство исполняют требования
Тогда регулятор ввел временную администрацию .,Регулятор ввел администрацию
Тогда полицейский ранил школьника в ногу .,Полицейский ранил школьника
Стоимость партии превысила два миллиона рублей .,Стоимость превысила рублей
Седьмая станция имеет три трассы .,Станция имеет трассы
Убийцы дают показания в милиции .,Убийцы дают показания
Сотрудники заповедника организовали поиск животного .,Сотрудники организовали поиск
Однако немецкие спецслужбы не использовали эту информацию .,Спецслужбы использовали информацию
Такое решение принял кабинет министров республики .,Кабинет принял решение
Строителей отпугивала низкая оценка стоимости работ .,Оценка отпугивала строителей
Сотрудники полиции выясняют личность умершего .,Сотрудники выясняют личность
Славу ему принесли портреты и жанровые картины .,Принесли портреты
Германская сторона обладала меньшей численностью войск .,Сторона обладала численностью
