congruent,base_sent,sent_corrected
Следственные органы устанавливают личности убитых .,Органы устанавливают личности,Органы устанавливают личности убитых
Правоохранительные органы уточнили хронологию субботних событий .,Органы уточнили хронологию,Органы уточнили хронологию событий
Отверстия обычно имеют прямоугольную форму .,Отверстия имеют форму,Отверстия имеют прямоугольную форму
Отверстия обычно имеют прямоугольную форму .,Отверстия имеют форму,Отверстия имеют прямоугольную форму
Чаще всего отец решал судьбу сына .,Отец решал судьбу,Отец решал судьбу сына
При этом его отряд понёс большие потери .,Отряд понёс потери,Отряд понёс большие потери
При этом его отряд понёс большие потери .,Отряд понёс потери,Отряд понёс большие потери
Штурмовые отряды блокировали здания и уничтожили террористов .,Отряды блокировали здания,Отряды блокировали здания
Охотники пели некоторые народные песни французского средневековья .,Охотники пели песни,Охотники пели народные песни
После этого девушку вывела охрана .,Охрана вывела девушку,Охрана вывела девушку
Береговая охрана задержала судно и допросила экипаж .,Охрана допросила экипаж,Охрана допросила экипаж
В ходе стычки три охранника получили ранения .,Охранника получили ранения,Охранники получили ранения
В ходе стычки три охранника получили ранения .,Охранника получили ранения,Охранники получили ранения
В ответ охранники открыли огонь .,Охранники открыли огонь,Охранники открыли огонь
В ответ охранники открыли огонь .,Охранники открыли огонь,Охранники открыли огонь
Очевидцы вызвали врачей и сотрудников полиции .,Очевидцы вызвали сотрудников ,Очевидцы вызвали сотрудников полиции
Очевидцы описали приметы верхней одежды злоумышленников .,Очевидцы описали приметы,Очевидцы описали приметы злоумышленников
Украинских зрителей возмутила эта ошибка .,Ошибка возмутила зрителей,Ошибка возмутила украинских зрителей
"Угнанный автомобиль , парень продал .",Парень продал автомобиль,Парень продал угнанный автомобиль
"Таким образом , парламентарии обсудят оба обращения .",Парламентарии обсудят обращения,Парламентарии обсудят обращения
Почти половину голосов набрала правящая Республиканская партия .,Партия набрала половину,Партия набрала половину голосов
Позже певица принесла публичные извинения .,Певица принесла извинения,Певица принесла публичные извинения
После случившегося педагог написал заявление об увольнении .,Педагог написал заявление,Педагог написал заявление
После случившегося педагог написал заявление об увольнении .,Педагог написал заявление,Педагог написал заявление об увольнении
По плану будут принимать пациентов педиатры .,Педиатры принимать пациентов,Педиатры принимают пациентов
В результате наезда пенсионерка получила телесные повреждения .,Пенсионерка получила повреждения,Пенсионерка получила телесные повреждения
Песня имела небольшой успех в мире .,Песня имела успех,Песня имела небольшой успех
Морская пехота ведет огонь из гаубиц .,Пехота ведет огонь,Пехота ведет огонь
Американские пехотинцы окружили дом и вызвали подкрепление .,Пехотинцы окружили дом,Пехотинцы окружили дом
Номер автомобиля пешеход не запомнила .,Пешеход запомнила номер,Пешеход запомнил номер автомобиля
Все письма принцессы носят личный характер .,Письма носят характер,Письма носят личный характер
Чугунная плита прикрывает могильный холм .,Плита прикрывает холм,Плита прикрывает могильный холм
Крепостные плотники сделали ткацкие станки .,Плотники сделали станки,Плотники сделали ткацкие станки
Кроме медали победитель получает денежную премию .,Победитель получает премию,Победитель получает денежную премию
Кроме медали победитель получает денежную премию .,Победитель получает премию,Победитель получает денежную премию
Повреждения существенно снижали стоимость монет .,Повреждения снижали стоимость,Повреждения снижали стоимость монет
Пограничники открыли огонь и остановили судно .,Пограничники остановили судно,Пограничники остановили судно
Пограничники в ответ открыли огонь .,Пограничники открыли огонь,Пограничники открыли огонь
Подготовка церкви к освящению потребовала большого труда .,Подготовка потребовала труда,Подготовка потребовала большого труда
Подготовка церкви к освящению потребовала большого труда .,Подготовка потребовала труда,Подготовка потребовала большого труда
В ходе предварительного следствия подельники признали вину .,Подельники признали вину,Подельники признали вину
Подозреваемая ударила мужчину ножом в руку .,Подозреваемая ударила мужчину,Подозреваемая ударила мужчину
Сами подозреваемые свою вину отрицают .,Подозреваемые отрицают вину,Подозреваемые отрицают вину
Наркотики подозреваемый хранил для дальнейшего сбыта .,Подозреваемый хранил наркотики,Подозреваемый хранил наркотики
В августе подписчики раскритиковали журналистку за распущенность .,Подписчики раскритиковали журналистку,Подписчики раскритиковали журналистку
В результате ранения получили шестеро подростков .,Подростков получили ранения,Подростки получили ранения
Подросток получил ушибы и ссадины .,Подросток получил ушибы,Подросток получил ушибы
Подсудимые отвергают выдвинутые против них обвинения .,Подсудимые отвергают обвинения,Подсудимые отвергают обвинения
Сам подсудимый не признал свою вину .,Подсудимый признал вину,Подсудимый признал вину
Подсудимый признал свою вину частично .,Подсудимый признал вину,Подсудимый признал вину
Через несколько часов поезд продолжил путь .,Поезд продолжил путь,Поезд продолжил путь
Сейчас пожарные выясняют причину возгорания .,Пожарные выясняют причину,Пожарные выясняют причину возгорания
За десять минут пожарные ликвидировали открытое горение .,Пожарные ликвидировали горение,Пожарные ликвидировали открытое горение
За десять минут пожарные ликвидировали открытое горение .,Пожарные ликвидировали горение,Пожарные ликвидировали открытое горение
Пожарные потушили пламя и зашли в помещение .,Пожарные потушили пламя,Пожарные потушили пламя
Пожарные проверяют соседние помещения и перекрытия .,Пожарные проверяют помещения,Пожарные проверяют соседние помещения
Сейчас пожарные уточняют причину возгорания .,Пожарные уточняют причину,Пожарные уточняют причину возгорания
Покупатель заплатил аванс и стал ждать .,Покупатель заплатил аванс,Покупатель заплатил аванс
Политик недавно перенес сложную операцию .,Политик перенес операцию,Политик перенес сложную операцию
Политик недавно перенес сложную операцию .,Политик перенес операцию,Политик перенес сложную операцию
Транспортные полицейские выясняют обстоятельства его смерти .,Полицейские выясняют обстоятельства,Полицейские выясняют обстоятельства смерти
А вскоре полицейские задержали и самого стрелка .,Полицейские задержали стрелка,Полицейские задержали стрелка
Полицейские ловят все машины белого цвета .,Полицейские ловят машины,Полицейские ловят машины
Нарушителей порядка полицейские ловят практически каждый день .,Полицейские ловят нарушителей,Полицейские ловят нарушителей
Вскоре полицейские нашли подозреваемого в совершении кражи .,Полицейские нашли подозреваемого,Полицейские нашли подозреваемого
Однако бомбу своевременно обнаружили полицейские .,Полицейские обнаружили бомбу,Полицейские обнаружили бомбу
Прибывшие на место происшествия полицейские обнаружили подозреваемых .,Полицейские обнаружили подозреваемых,Полицейские обнаружили подозреваемых
Приехавшие на вызов полицейские обнаружили следы взлома .,Полицейские обнаружили следы,Полицейские обнаружили следы взлома
По результатам проверки полицейские примут обоснованное решение .,Полицейские примут решение,Полицейские примут обосновенное решение
Но полицейские напрасно разыскивали уличного грабителя .,Полицейские разыскивали грабителя,Полицейские разыскивали грабителя
Сейчас полицейские разыскивают второго воришку .,Полицейские разыскивают воришку,Полицейские разыскивают второго воришку
Полицейские сейчас устанавливают все обстоятельства этого инцидента .,Полицейские устанавливают обстоятельства,Полицейские устанавливают обстоятельства инцидента
"Как отмечалось , ранение получил один полицейский .",Полицейский получил ранение,Полицейский получил ранение
Тогда полицейский ранил школьника в ногу .,Полицейский ранил школьника,Полицейский ранил школьника
Двое полицейских из оцепления получают ранения .,Полицейских получают ранения,Полицейские получили ранения
Поиск россиянина ведет местная полиция .,Полиция ведет поиск,Полиция ведет поиск россиянина
Поиск россиянина ведет местная полиция .,Полиция ведет поиск,Полиция ведет поиск россиянина
Полиция ведет поиски анонимного заявителя .,Полиция ведет поиски,Полиция ведет поиски заявителя
Полиция ведет поиски анонимного заявителя .,Полиция ведет поиски,Полиция ведет поиски заявителя
Полиция выяснила личность вора по фотографии .,Полиция выяснила личность,Полиция выяснила личность вора
Полиция выяснила обстоятельства похищения пива .,Полиция выяснила обстоятельства,Полиция выяснила обстоятельства похищения
Полиция выясняет мотивы его поступка .,Полиция выясняет мотивы,Полиция выясняет мотивы поступка
После приземления мужчину забрала полиция .,Полиция забрала мужчину,Полиция забрала мужчину
Полиция задержала нескольких противников кинокартины .,Полиция задержала противников,Полиция задержала противников кинокартины
Прибывшая полиция задержала троих участников драки .,Полиция задержала участников,Полиция задержала участников драки
Аналогичную шпионскую программу использует немецкая полиция .,Полиция использует программу,Полиция использует шпионскую программу
"Получив заявление , полиция начала проверку .",Полиция начала проверку,Полиция начала проверку
Сообщения об избиении полиция отрицает .,Полиция отрицает сообщения,Полиция отрицает сообщения
Однако полиция быстро отыскала злоумышленника .,Полиция отыскала злоумышленника,Полиция отыскала злоумышленника
Полиция оцепила место аварии и прилегающий район .,Полиция оцепила место,Полиция оцепила место аварии
Кончину певца подтвердила местная полиция .,Полиция подтвердила кончину,Полиция подтвердила кончину певца
Полиция эти сведения в целом подтвердила .,Полиция подтвердила сведения,Полиция подтвердила сведения
Террориста поймала прибывшая на остров полиция .,Полиция поймала террориста,Полиция поймала террориста
Полиция проверяет подлинность найденных облигаций .,Полиция проверяет подлинность,Полиция проверяет подлинность облигаций
Полиция Выборгского района проводит проверку .,Полиция проводит проверку,Полиция проводит проверку
"Полиция проводит проверку , опрашивает свидетелей .",Полиция проводит проверку,Полиция опришивает свидетелей
Полиция проводит расследование обстоятельств происшедшего .,Полиция проводит расследование,Полиция проводит расследование происшедшего
Полиция также разместила видеозапись инцидента .,Полиция разместила видеозапись,Полиция разместила видеозапись инцидента
Однако полиция быстро разоблачила подлог .,Полиция разоблачила подлог,Полиция разоблачила подлог
Владельца упавшего здания разыскивает полиция .,Полиция разыскивает владельца,Полиция разыскивает владельца здания
Владельца упавшего здания разыскивает полиция .,Полиция разыскивает владельца,Полиция разыскивает владельца здания
Полиция разыскивает новых пострадавших от действий мошенников .,Полиция разыскивает пострадавших,Полиция разыскивает пострадавших
Полиция разыскивает двух его сообщников .,Полиция разыскивает сообщников,Полиция разыскивает сообщников
Полиция разыскивает его предполагаемых сообщников .,Полиция разыскивает сообщников,Полиция разыскивает сообщников
Сейчас полиция разыскивает соучастников ограбления .,Полиция разыскивает соучастников,Полиция разыскивает соучастников ограбления
Лондонская полиция расследовала это дело .,Полиция расследовала дело,Полиция расследовала дело
Полиция устанавливает все обстоятельства происшедшего .,Полиция устанавливает обстоятельства,Полиция устанавливает обстоятельства происшедшего
На это обратили внимание пользователи сети .,Пользователи обратили внимание,Пользователи обратили внимание
Догадку автора картинки подтвердили и другие пользователи .,Пользователи подтвердили догадку,Пользователи подтвердили догадку автора
Другие посетители не проявили таких бурных эмоций .,Посетители проявили эмоций,Посетители проявили бурные эмоции
И посетители вновь не соблюдали дистанцию .,Посетители соблюдали дистанцию,Посетители соблюдали дистанцию
"Посетители читали газеты , журналы , книги .",Посетители читали газеты,Посетители читали газеты
После этого постояльцы продолжили застолье .,Постояльцы продолжили застолье,Постояльцы продолжили застолье
После этого постояльцы продолжили застолье .,Постояльцы продолжили застолье,Постояльцы продолжили застолье
Сам пострадавший сейчас проходит курс лечения .,Пострадавший проходит курс,Пострадавший проходит курс лечения
В результате потерпевший получил перелом носа .,Потерпевший получил перелом,Потерпевший получил перелом носа
Областное правительство свои обязательства не выполнило .,Правительство выполнило обязательства,Правительство выполнило обязательства
Правительство в целом одобрило этот документ .,Правительство одобрило документ,Правительство одобрило документ
Правительство также поддерживает это предложение .,Правительство поддерживает предложение,Правительство поддерживает предложение
Правительство региона подпишет соответствующее постановление .,Правительство подпишет постановление,Правительство подпишет постановление
Правительство прорабатывает и дополнительные меры поддержки .,Правительство прорабатывает меры,Правительство прорабатывает меры поддержки
В настоящее время предложения ведомства рассматривает правительство .,Правительство рассматривает предложения,Правительство рассматривает предложения ведомства
Его слова подтвердили и представители сирийских курдов .,Представители подтвердили слова,Представители подтвердили слова курдов
Представители немецкой компании уже подтвердили факт столкновения .,Представители подтвердили факт,Представители подтвердили факт столкновения
Российский президент возглавит российскую делегацию .,Президент возглавит делегацию,Президент возглавит российскую делегацию
Президент выразил несогласие с решением суда .,Президент выразил несогласие,Президент выразил несогласие
Украинский президент и ранее делал аналогичные заявления .,Президент делал заявления,Президент делал аналогичные заявления
Президент держит в руках портрет своего отца .,Президент держит портрет,Президент держит портрет отца
В целом премьера имела бесспорный успех .,Премьера имела успех,Премьера имела бесспорный успех
Премьера привлекла внимание множества известных персон .,Премьера привлекла внимание,Премьера привлекла внимание
Препарат не индуцирует ферменты печени .,Препарат индуцирует ферменты,Препарат индуцирует ферменты печени
Преследование бандитов продолжают армейский спецназ и пограничники .,Преследование продолжают спецназ,Спецназ продолжает преследование бандитов
Подробности сообщила пресс-служба администрации города .,Пресс-служба сообщила подробности,Пресс-служба сообщила подробности
Преступник нанес всем им ранения и скрылся .,Преступник нанес ранения,Преступник нанес ранения
Затем преступник поджег игровые столы .,Преступник поджег столы,Преступник поджег игровые столы
Преступник при этом совершил ограбление банка .,Преступник совершил ограбление,Преступник совершил ограбление банка
Через несколько часов преступники отпустили заложницу .,Преступники отпустили заложницу,Преступники отпустили заложницу
Через несколько часов преступники отпустили заложницу .,Преступники отпустили заложницу,Преступники отпустили заложницу
Мобильный телефон и фотоаппарат убитой преступники продали .,Преступники продали телефон,Преступники продали мобильный телефон
Его тело преступники сбросили в реку .,Преступники сбросили тело,Преступники сбросили тело
Его тело преступники сбросили в реку .,Преступники сбросили тело,Преступники сбросили тело в реку
Приговор вызвал возмущение петербургской общественности .,Приговор вызвал возмущение,Приговор вызвал возмущение общественности
Приговор вызвал волну критики за рубежом .,Приговор вызвал волну,Приговор вызвал волну критики
Приговор предусматривает двухлетнюю отсрочку отбывания наказания .,Приговор предусматривает отсрочку,Приговор предусматривает двухлетнюю отсрочку
С наступлением весенней оттепели природа творит чудеса .,Природа творит чудеса,Природа творит чудеса
Судебные приставы конфисковали часть его дорогостоящего имущества .,Приставы конфисковали часть,Приставы конфисковали часть имущества
"Причины , впрочем , не имеют значения .",Причины имеют значения,Причины имеют значение
Программа покажет местоположение утерянного предмета .,Программа покажет местоположение,Программа покажет местоположение предмета
Тем более что цену продавец выставил привлекательную .,Продавец выставил привлекательную,Продавец выставил привлекательную цену
"Мало того , продавцы обещают большие скидки .",Продавцы обещают скидки,Продавцы обещают большие скидки
Продюсер певца подтвердил эту информацию .,Продюсер подтвердил информацию,Продюсер подтвердил информацию
Прокуратура ведет проверку по данному делу .,Прокуратура ведет проверку,Прокуратура ведет проверку
Японская прокуратура возбудила уголовные дела .,Прокуратура возбудила дела,Прокуратура возбудила уголовные дела
Прокуратура провинции Красное море возбудило уголовное дело .,Прокуратура возбудило дело,Прокуратура возбудило уголовное дело
По факту произошедшего прокуратура инициировала проверку .,Прокуратура инициировала проверку,Прокуратура инициировала проверку
По данному факту прокуратура начала расследование .,Прокуратура начала расследование,Прокуратура начала расследование
Сейчас в отношении учителя начала расследование прокуратура .,Прокуратура начала расследование,Прокуратура начала расследование
"Тем не менее , прокуратура начала расследование .",Прокуратура начала расследование,Прокуратура начала расследование
Эти сведения официально опровергла прокуратура республики .,Прокуратура опровергла сведения,Прокуратура опровергла сведения
Прокуратура официально не подтверждает данную информацию .,Прокуратура подтверждает информацию,Прокуратура подтверждает данную информацию
Прокуратура провела проверку и возбудила уголовное дело .,Прокуратура провела проверку,Прокуратура провела проверку
Прокуратура проводит проверку по факту случившегося .,Прокуратура проводит проверку,Прокуратура проводит проверку
Прокуратура Витебского района проводит проверку этого происшествия .,Прокуратура проводит проверку,Прокуратура проводит проверку
Обстоятельства их смерти расследует Генеральная прокуратура республики .,Прокуратура расследует обстоятельства,Прокуратура расследует обстоятельства смерти
Наказания губернатора требовала прокуратура республики .,Прокуратура требовала наказания,Прокуратура требовала наказание губератора
Позже эту информацию подтвердил прокурор .,Прокурор подтвердил информацию,Прокурор подтвердил информацию
Прокуроры также контролировали исполнение судебных приговоров .,Прокуроры контролировали исполнение,Прокуроры контролировали исполнение приговоров
Прокуроры также контролировали исполнение судебных приговоров .,Прокуроры контролировали исполнение,Прокуроры контролировали исполнение приговоров
Монастырскую гору пронизывают пещеры и подземные ходы .,Пронизывают пещеры,Пещеры пронизывают монастырскую гору
Монастырскую гору пронизывают пещеры и подземные ходы .,Пронизывают пещеры,Пещеры пронизывают монастырскую гору
Его проповедь приносила обильные плоды .,Проповедь приносила плоды,Проповедь приносила обильные плоды
Противник не ждал опасности с севера .,Противник ждал опасности,Противник ждал опасности
Противник не ждал опасности с севера .,Противник ждал опасности,Противник ждал опасности с севера
Женщину же спас случайный прохожий .,Прохожий спас женщину,Прохожий спас женщину
Эта процедура часто причиняла женщинам большие страдания .,Процедура причиняла страдания,Процедура причиняла большие страдания
"По его словам , процесс набирает обороты .",Процесс набирает обороты,Процесс набирает обороты
Зачастую процесс носит необратимый характер .,Процесс носит характер,Процесс носит необратимый характер
Детские психологи подтвердили правдивость историй .,Психологи подтвердили правдивость,Психологи подтвердили правдивость историй
Эта публикация собрала десятки комментариев пользователей .,Публикация собрала десятки,Публикация собрала десятки комментариев
Бутылку нашли через несколько часов другие путешественники .,Путешественники нашли бутылку,Путешественники нашли бутылку
"Возможно , путешествие груза продлится месяц .",Путешествие продлится месяц,Путешествие продлится месяц
Пятна на листьях образуют шахматный рисунок .,Пятна образуют рисунок,Пятна образуют шахматный рисунок
В противном случае ответственный работник понесет наказание .,Работник понесет наказание,Работник понесет наказание
Тем не менее радиостанция продолжила вещание .,Радиостанция продолжила вещание,Радиостанция продолжила вещание
Оба района имеют холмистый рельеф .,Района имеют рельеф,Районы имеют холмистый рельеф
Ракета поразила условную цель в установленное время .,Ракета поразила цель,Ракета поразила цель
Расследование обстоятельств его смерти выявляет интересные факты .,Расследование выявляет факты,Расследование выявляет интересные факты
Эти растворители довольно часто имеют резкий запах .,Растворители имеют запах,Растворители имеют резкий запах
Эти растворители довольно часто имеют резкий запах .,Растворители имеют запах,Растворители имеют резкий запах
"Да , ребята совершили абсолютно недопустимые поступки .",Ребята совершили поступки,Ребята совершили недопустимые поступки
А регистрация займет лишь один день .,Регистрация займет день,Регистрация займет день
Решения сельских комитетов носили обязательный характер .,Решения носили характер,Решения носили обязательный характер
Пост о смерти малыша опубликовали его родители .,Родители опубликовали пост,Родители опубликовали пост
При выходе мелкие родники образуют небольшое озеро .,Родники образуют озеро,Родники образуют небольшое озеро
В тот день родственники совместно распивали спиртное .,Родственники распивали спиртное,Родственники распивали спиртное
Роды принимали сразу девять специалистов .,Роды принимали специалистов,Специалисты принимали роды
В основном роман собрал восторженные отзывы критиков .,Роман собрал отзывы,Роман собрал восторженные отзывы
Россияне вырвали победу в концовке третьего периода .,Россияне вырвали победу,Россияне вырвали победу
В финале россияне обыграли бразильцев .,Россияне обыграли бразильцев,Россияне обыграли бразильцев
Руководство албанских сепаратистов опровергает эти сведения .,Руководство опровергает сведения,Руководство опровергает сведения
После этого руководство музея устранило выявленные нарушения .,Руководство устранило нарушения,Руководство устранило выявленные нарушения
Руководство последней также хранит молчание .,Руководство хранит молчание,Руководство хранит молчание
В брачный период самец демонстрирует брачный танец .,Самец демонстрирует танец,Самец демонстрирует брачный танец
Национальная сборная получила условную дисквалификацию .,Сборная получила дисквалификацию,Сборная получила условную дисквалификацию
Национальная сборная получила условную дисквалификацию .,Сборная получила дисквалификацию,Сборная получила условную дисквалификацию
Восемь мужских сборных разыграли один комплект наград .,Сборных разыграли комплект,Сборные разыграли комплект наград
В Иркутской области священник сбил дорожный знак .,Священник сбил знак,Священник сбил дорожный знак
Сделка вызвала неоднозначную реакцию в мире .,Сделка вызвала реакцию,Сделка вызвала неоднозначную реакцию
Пополнение также отпраздновали многодетные семьи .,Семьи отпраздновали пополнение,Семьи отпраздновали пополнение
Семья его матери имеет индейские корни .,Семья имеет корни,Семья имеет индейские корни
Семья имеет польские и украинские корни .,Семья имеет корни,Семья имеет индейские корни
Сервис упрощает жизнь и экономит время .,Сервис упрощает жизнь,Сервис упрощает жизнь
Сериал представляет собой сборник коротких любовных новелл .,Сериал представляет сборник,Сериал представляет сборник новелл
Силовики в ответ начали штурм квартиры .,Силовики начали штурм,Силовики начали штурм квартиры
"Однако , синоптики нам не обещают осадков .",Синоптики обещают осадков,Синоптики обещают осадки
В Свердловской области синоптики объявили штормовое предупреждение .,Синоптики объявили предупреждение,Синоптики объявили штормовое предупреждение
Некоторые ситуации носили криминальный оттенок .,Ситуации носили оттенок,Ситуации носили криминальный оттенок
Некоторые ситуации носили криминальный оттенок .,Ситуации носили оттенок,Ситуации носили криминальный оттенок
Такая ситуация вызвала народное восстание .,Ситуация вызвала восстание,Ситуация вызвала народное восстание
Такая ситуация вызвала народное восстание .,Ситуация вызвала восстание,Ситуация вызвала народное восстание
Скульптура изображает писателя в глубокой задумчивости .,Скульптура изображает писателя,Скульптура изображает писателя
Сейчас следователи возбудили уголовное дело .,Следователи возбудили дело,Следователи возбудили уголовное дело
Сейчас следователи возбудили уголовное дело .,Следователи возбудили дело,Следователи возбудили уголовное дело
На данный момент следователи восстановили картину произошедшего .,Следователи восстановили картину,Следователи восстановили картину произошедшего
В настоящее время следователи выясняют причины случившегося .,Следователи выясняют причины,Следователи выясняют причины случившегося
Сейчас следователи допрашивают руководителей завода .,Следователи допрашивают руководителей,Следователи допрашивают руководителей завода
Следователи ищут и других возможных потерпевших .,Следователи ищут потерпевших,Следователи ищут возможных потерпевших
Следователи опрашивают возможных свидетелей преступления .,Следователи опрашивают свидетелей,Следователи опрашивают свидетелей преступления
Место происшествия также осмотрели следователи - криминалисты .,Следователи осмотрели место,Следователи осмотрели место происшествия
Следователи по горячим следам раскрыли преступление .,Следователи раскрыли преступление,Следователи раскрыли преступление
Следователи устанавливают личности остальных участников нападения .,Следователи устанавливают личности,Следователи устанавливают личности участников
Мотив преступления следователи пока не установили .,Следователи установили мотив,Следователи установили мотив преступления
Следствие выясняет мотивы поступка подростка .,Следствие выясняет мотивы,Следствие выясняет мотивы поступка
На данный момент следствие выясняет мотивы произошедшего .,Следствие выясняет мотивы,Следствие выясняет мотивы поступка
Пропажу обнаружил пришедший в ботанический сад служащий .,Служащий обнаружил пропажу,Служащий обнаружил пропажу
Служба поддержки провайдера подтвердила факт блокировки .,Служба подтвердила факт,Служба подтвердила факт блокировки
Другие социологические службы зафиксировали рост рейтинга .,Службы зафиксировали рост,Службы зафиксировали рост рейтинга
Местные службы безопасности ликвидировали преступника .,Службы ликвидировали преступника,Службы ликвидировали преступника
Сейчас спасательные службы разбирают обвалившиеся конструкции .,Службы разбирают конструкции,Службы разбирают обвалившиеся конструкции
Местных жителей случай явно напугал .,Случай напугал жителей,Случай напугал местных жителей
Собаки сломали забор и убежали .,Собаки сломали забор,Собаки сломали забор
Решение принял совет директоров общества .,Совет принял решение,Совет принял решение
Создатель мобильника не впервые критикует современные телефоны .,Создатель критикует телефоны,Создатель критикует современные телефоны
Наши солдаты освобождали свою землю .,Солдаты освобождали землю,Солдаты освобождали землю
Солдаты открыли по нему огонь .,Солдаты открыли огонь,Солдаты открыли огонь
Польские солдаты страшно разграбили город .,Солдаты разграбили город,Солдаты разграбили город
Польские солдаты страшно разграбили город .,Солдаты разграбили город,Солдаты разграбили город
Фотографию записки опубликовал ее сосед .,Сосед опубликовал фотографию,Сосед опубликовал фотографию записки
Соседи тут же вызвали полицейских .,Соседи вызвали полицейских,Соседи вызвали полицейских
Пламя заметили соседи и вызвали пожарных .,Соседи заметили пламя,Соседи заметили пламя
Соседи сделали ему замечание и попросили одеться .,Соседи сделали замечание,Соседи сделали замечание
Собаку спецназовца забрали его сослуживцы .,Сослуживцы забрали собаку,Сослуживцы забрали спецназовца
Сотрудник прокуратуры сразу же достал служебное удостоверение .,Сотрудник достал удостоверение,Сотрудник достал служебное удостоверение
Сотрудник парка оказал девочке первую помощь .,Сотрудник оказал помощь,Сотрудник оказал первую помощь
Сотрудники подразделений транспортной безопасности ведут профилактическую работу .,Сотрудники ведут работу,Сотрудники ведут профилактическую работу
Сотрудники музея восстанавливают разрушенные колонны .,Сотрудники восстанавливают колонны,Сотрудники восстанавливают разрушенные колонны
Его жертве наши сотрудники вызвали скорую .,Сотрудники вызвали скорую,Сотрудники вызвали скорую
Сотрудники полиции выясняют личность умершего .,Сотрудники выясняют личность,Полиции выясняют личность умершего
Сейчас сотрудники полиции выясняют все обстоятельства случившегося .,Сотрудники выясняют обстоятельства,Сотрудники выясняют обстоятельства случившегося
Подробности происшествия выясняют сотрудники правоохранительных органов .,Сотрудники выясняют подробности,Сотрудники выясняют подробности происшествия
Сотрудники управления задержали всех предполагаемых вымогателей .,Сотрудники задержали вымогателей,Сотрудники задержали предполагаемых вымогателей
Спровоцировавшего скандал мужчину задержали сотрудники полиции .,Сотрудники задержали мужчину,Сотрудники задержали мужчину
Сотрудники милиции задержали преступников в момент продажи .,Сотрудники задержали преступников,Сотрудники задержали преступников
Сотрудники администрации обследовали строительную площадку .,Сотрудники обследовали площадку,Сотрудники обследовали строительную площадку
Здание обыскали сотрудники полиции с собаками .,Сотрудники обыскали здание,Сотрудники обыскали здание
Сотрудники полиции безопасности также обыскали его кабинет .,Сотрудники обыскали кабинет,Сотрудники обыскали кабинет
Сотрудники заповедника организовали поиск животного .,Сотрудники организовали поиск,Сотрудники организовали поиск животного
Информацию подтвердили сотрудники служб безопасности .,Сотрудники подтвердили информацию,Сотрудники подтвердили информацию
Эту информацию подтвердили сотрудники правоохранительных органов .,Сотрудники подтвердили информацию,Сотрудники подтвердили информацию
Сотрудники авиакомпании принесли свои извинения пострадавшей семье .,Сотрудники принесли извинения,Сотрудники принесли извинения
Сейчас сотрудники ведомства проверяют все поступившие сообщения .,Сотрудники проверяют сообщения,Сотрудники проверяют поступившие сообщения
"Кстати , сотрудники органов уже проводят проверку .",Сотрудники проводят проверку,Сотрудники проводят проверку
Задержание произвели сотрудники финансовой полиции .,Сотрудники произвели задержание,Сотрудники произвели задержание
Сотрудники милиции производят досмотр транспорта .,Сотрудники производят досмотр,Сотрудники производят досмотр транспорта
Сотрудники полиции оперативно установили его личность .,Сотрудники установили личность,Сотрудники установили личность
Первую помощь оказала сотрудница школы .,Сотрудница оказала помощь,Сотрудница оказала первую помощь
Наибольшую известность получили его инструментальные сочинения .,Сочинения получили известность,Сочинения получили большую известность
"В итоге , трое спасателей получили ранение .",Спасателей получили ранение,Спасатели получили ранение
"По последним данным , спасатели ликвидировали пожар .",Спасатели ликвидировали пожар,Спасатели ликвидировали пожар
"По последним данным , спасатели ликвидировали пожар .",Спасатели ликвидировали пожар,Спасатели ликвидировали пожар
"Спасатели предпринимают усилия , чтобы ликвидировать возгорание .",Спасатели предпринимают усилия,Спасатели предпринимают усилия
Причину пожара теперь выясняют специалисты .,Специалисты выясняют причину,Специалисты выясняют причину пожара
Сейчас эту идею обсуждают специалисты ведомства .,Специалисты обсуждают идею,Специалисты обсуждают идею
Из-за инфекции специалисты проводят эпидемиологическое расследование .,Специалисты проводят расследование,Специалисты проводят эпидемиологическое расследование
Специалисты устанавливают все обстоятельств происшествия .,Специалисты устанавливают обстоятельств,Специалисты устанавливают обстоятельства происшествия
Причину пожара устанавливают специалисты ведомства .,Специалисты устанавливают причину,Специалисты устанавливают причину пожара
Причину возгорания в настоящее время устанавливают специалисты .,Специалисты устанавливают причину,Специалисты устанавливают причину пожара
Причины возгорания сейчас устанавливают специалисты .,Специалисты устанавливают причины,Специалисты устанавливают причины возгорания
В настоящее время специалисты устанавливают причины пожара .,Специалисты устанавливают причины,Специалисты устанавливают причины пожара
Специалисты устанавливают причины и обстоятельства конфликта .,Специалисты устанавливают причины,Специалисты устанавливают причины пожара
Причины возгорания сейчас устанавливают специалисты .,Специалисты устанавливают причины,Специалисты устанавливают причины возгорания
В ходе спецоперации двое спецназовцев получили ранения .,Спецназовцев получили ранения,Спецназовцы получили ранения
Подоспевшие туда армейские спецподразделения окружили террористов .,Спецподразделения окружили террористов,Спецподразделения окружили террористов
Позже местные спецслужбы ликвидировали убийцу .,Спецслужбы ликвидировали убийцу,Спецслужбы ликвидировали убийцу
Сплав обладает повышенной прочностью при высоких температурах .,Сплав обладает прочностью,Сплав обладает повышенной прочностью
Сплав обладает повышенной прочностью при высоких температурах .,Сплав обладает прочностью,Сплав обладает повышенной прочностью
