,congruent,base_sent,sent_corrected,length,structure,words,subject,verb,object,gen,adj,preposition,object2,subject_length,subject_lemma,subject_ipm,verb_length,verb_lemma,verb_ipm,object_length,object_lemma,object_ipm,gen_length,gen_lemma,gen_ipm,adj_length,adj_lemma,adj_ipm,preposition_length,preposition_lemma,preposition_ipm,object2_length,object2_lemma,object2_ipm
107,Эта грамота быстро дала положительные результаты .,Грамота дала результаты,Грамота дала положительные результаты,4,Subject - Verb - Adj - Object,"['Грамота', 'дала', 'положительные', 'результаты']",грамота,дала,результаты,,положительные,,,3,грамота,,2,дать,727.3494944151084,4,результат,247.8381791853505,,,,6.0,положительный,42.77740971941579,,,,,,
109,Соответствующее распоряжение утвердил губернатор края .,Губернатор утвердил распоряжение,Распоряжение утвердил губернатор края,4,Subject - Verb - Object - Gen,"['Распоряжение', 'утвердил', 'губернатор', 'края']",распоряжение,утвердил,губернатор,края,,,,6,распоряжение,,3,утвердить,,4,губернатор,,2.0,край,170.96542735781995,,,,,,,,,
110,"Кроме того , девочка забросила школу .",Девочка забросила школу,Девочка забросила школу,3,Subject - Verb - Object,"['Девочка', 'забросила', 'школу']",девочка,забросила,школу,,,,,3,девочка,157.3828386555507,4,забросить,,2,школа,278.2721510396683,,,,,,,,,,,,
111,"Кроме того , девочка забросила школу .",Девочка забросила школу,Девочка забросила школу,3,Subject - Verb - Object,"['Девочка', 'забросила', 'школу']",девочка,забросила,школу,,,,,3,девочка,157.3828386555507,4,забросить,,2,школа,278.2721510396683,,,,,,,,,,,,
112,Девочка в результате этого получила травмы .,Девочка получила травмы,Девочка получила травмы,3,Subject - Verb - Object,"['Девочка', 'получила', 'травмы']",девочка,получила,травмы,,,,,3,девочка,157.3828386555507,4,получить,552.8909435766419,2,травма,,,,,,,,,,,,,
113,Девушка с плаката сознательно избегала голливудских тусовок .,Девушка избегала тусовок,Девушка избегала тусовок,3,Subject - Verb - Object,"['Девушка', 'избегала', 'тусовок']",девушка,избегала,тусовок,,,,,3,девушка,217.61251285969507,4,избегать,,3,тусовка,,,,,,,,,,,,,
114,"По данным издания , девушка открыла глаза .",Девушка открыла глаза,Девушка открыла глаза,3,Subject - Verb - Object,"['Девушка', 'открыла', 'глаза']",девушка,открыла,глаза,,,,,3,девушка,217.61251285969507,3,открыть,208.18001122846917,2,глаз,953.1366639829528,,,,,,,,,,,,
115,В результате побоев девушка получила телесные повреждения .,Девушка получила повреждения,Девушка получила телесные повреждения,4,Subject - Verb - Adj - Object,"['Девушка', 'получила', 'телесные', 'повреждения']",девушка,получила,повреждения,,телесные,,,3,девушка,217.61251285969507,4,получить,552.8909435766419,5,повреждение,,,,,4.0,телесный,,,,,,,
116,В результате побоев девушка получила телесные повреждения .,Девушка получила повреждения,Девушка получила телесные повреждения,4,Subject - Verb - Adj - Object,"['Девушка', 'получила', 'телесные', 'повреждения']",девушка,получила,повреждения,,телесные,,,3,девушка,217.61251285969507,4,получить,552.8909435766419,5,повреждение,,,,,4.0,телесный,,,,,,,
117,В результате случившегося девушка получила различные травмы .,Девушка получила травмы,Девушка получила различные травмы,4,Subject - Verb - Adj - Object,"['Девушка', 'получила', 'различные', 'травмы']",девушка,получила,травмы,,различные,,,3,девушка,217.61251285969507,4,получить,552.8909435766419,2,травма,,,,,4.0,различный,161.51156105698766,,,,,,
118,В результате случившегося девушка получила различные травмы .,Девушка получила травмы,Девушка получила различные травмы,4,Subject - Verb - Adj - Object,"['Девушка', 'получила', 'различные', 'травмы']",девушка,получила,травмы,,различные,,,3,девушка,217.61251285969507,4,получить,552.8909435766419,2,травма,,,,,4.0,различный,161.51156105698766,,,,,,
119,"Возможно , дедушка потерял память .",Дедушка потерял память,Дедушка потерял память,3,Subject - Verb - Object,"['Дедушка', 'потерял', 'память']",дедушка,потерял,память,,,,,3,дедушка,,3,потерять,132.65857475354352,2,память,174.8457854750825,,,,,,,,,,,,
120,"Возможно , дедушка потерял память .",Дедушка потерял память,Дедушка потерял память,3,Subject - Verb - Object,"['Дедушка', 'потерял', 'память']",дедушка,потерял,память,,,,,3,дедушка,,3,потерять,132.65857475354352,2,память,174.8457854750825,,,,,,,,,,,,
121,Сам дежурный свою вину отрицал .,Дежурный отрицал вину,Дежурный отрицал вину,3,Subject - Verb - Object,"['Дежурный', 'отрицал', 'вину']",дежурный,отрицал,вину,,,,,3,дежурный,,3,отрицать,,2,вина,,,,,,,,,,,,,
122,Однако демонстранты использовали плакаты и нового содержания .,Демонстранты использовали плакаты,Демонстранты использовали плакаты,3,Subject - Verb - Object,"['Демонстранты', 'использовали', 'плакаты']",демонстранты,использовали,плакаты,,,,,4,демонстрант,,5,использовать,165.514766024487,3,плакат,,,,,,,,,,,,,
123,Демонстранты разбили окно автомобиля одной из телекомпаний .,Демонстранты разбили окно,Демонстранты разбили окно автомобиля,4,Subject - Verb - Object - Gen,"['Демонстранты', 'разбили', 'окно', 'автомобиля']",демонстранты,разбили,окно,автомобиля,,,,4,демонстрант,,3,разбить,62.18187088942922,2,окно,304.36642438018595,5.0,автомобиль,,,,,,,,,,
124,При этом девять депутатов пропустили голосование .,Депутатов пропустили голосование,Депутаты пропустили голосование,3,Subject - Verb - Object,"['Депутаты', 'пропустили', 'голосование']",депутаты,пропустили,голосование,,,,,4,депутат,,4,пропустить,,6,голосование,,,,,,,,,,,,,
125,Требование митингующих поддержали депутаты городского совета .,Депутаты поддержали требование,Депутаты поддержали требование граждан,4,Subject - Verb - Object - Gen,"['Депутаты', 'поддержали', 'требование', 'граждан']",депутаты,поддержали,требование,граждан,,,,4,депутат,,4,поддержать,,5,требование,112.42623263628208,2.0,гражданин,114.63747594054452,,,,,,,,,
126,Упомянутые в запросе депутаты представляют разные фракции .,Депутаты представляют фракции,Депутаты представляют различные фракции,4,Subject - Verb - Adj - Object,"['Депутаты', 'представляют', 'различные', 'фракции']",депутаты,представляют,фракции,,различные,,,4,депутат,,4,представлять,218.40033505143109,3,фракция,,,,,4.0,различный,161.51156105698766,,,,,,
127,Упомянутые в запросе депутаты представляют разные фракции .,Депутаты представляют фракции,Депутаты представляют различные фракции,4,Subject - Verb - Adj - Object,"['Депутаты', 'представляют', 'различные', 'фракции']",депутаты,представляют,фракции,,различные,,,4,депутат,,4,представлять,218.40033505143109,3,фракция,,,,,4.0,различный,161.51156105698766,,,,,,
128,Деревня вдохновляла художника своими пейзажами .,Деревня вдохновляла художника,Деревня вдохновляла художника,3,Subject - Verb - Object,"['Деревня', 'вдохновляла', 'художника']",деревня,вдохновляла,художника,,,,,3,деревня,206.4654964925555,4,вдохновлять,,4,художник,158.13327267547555,,,,,,,,,,,,
129,Дерево перегородило проход к подземному переходу .,Дерево перегородило проход,Дерево перегородило проход,3,Subject - Verb - Object,"['Дерево', 'перегородило', 'проход']",дерево,перегородило,проход,,,,,3,дерево,187.78476350545893,6,перегородить,,2,проход,,,,,,,,,,,,,
130,Только тогда австрийская дивизия сложила оружие .,Дивизия сложила оружие,Дивизия сложила оружие,3,Subject - Verb - Object,"['Дивизия', 'сложила', 'оружие']",дивизия,сложила,оружие,,,,,4,дивизия,,3,сложить,,4,оружие,104.2221995074242,,,,,,,,,,,,
131,Дизайнер имеет полную свободу творческого самовыражения .,Дизайнер имеет свободу,Дизайнер имеет свободу самовыражения,4,Subject - Verb - Object - Gen,"['Дизайнер', 'имеет', 'свободу', 'самовыражения']",дизайнер,имеет,свободу,самовыражения,,,,3,дизайнер,,3,иметь,1048.0946086323013,3,свобода,171.59835569490957,7.0,самовыражение,,,,,,,,,,
132,Динамовцы забили единственный мяч во втором тайме .,Динамовцы забили мяч,Динамовцы забили единственный мяч,4,Subject - Verb - Adj - Object,"['Динамовцы', 'забили', 'единственный', 'мяч']",динамовцы,забили,мяч,,единственный,,,4,динамовец,,3,забить,,1,мяч,,,,,4.0,единственный,173.78556374586486,,,,,,
133,Российские дипломаты предприняли ответные меры .,Дипломаты предприняли меры,Дипломаты предприняли ответные меры,4,Subject - Verb - Adj - Object,"['Дипломаты', 'предприняли', 'ответные', 'меры']",дипломаты,предприняли,меры,,ответные,,,4,дипломат,,4,предпринять,,2,мера,300.1923020558354,,,,4.0,ответный,,,,,,,
134,Победителей ждут дипломы и памятные подарки .,Дипломы ждут победителей,Дипломы ждут победителей,3,Subject - Verb - Object,"['Дипломы', 'ждут', 'победителей']",дипломы,ждут,победителей,,,,,3,диплом,,1,ждать,326.9088213986394,5,победитель,,,,,,,,,,,,,
135,Дорога представляет собой замкнутый контур .,Дорога представляет контур,Дорога представляет замкнутый контур,4,Subject - Verb - Adj - Object,"['Дорога', 'представляет', 'замкнутый', 'контур']",дорога,представляет,контур,,замкнутый,,,3,дорога,442.33411953092,4,представлять,218.40033505143109,2,контур,,,,,3.0,замкнутый,,,,,,,
138,Недавно друг и адвокат писательницы нашел рукопись .,Друг нашел рукопись,Друг нашел рукопись,3,Subject - Verb - Object,"['Друг', 'нашел', 'рукопись']",друг,нашел,рукопись,,,,,1,друг,410.7170790971478,2,найти,461.5623221766806,3,рукопись,,,,,,,,,,,,,
139,Курганская городская дума поддержала инициативу .,Дума поддержала инициативу,Дума поддержала инициативу,3,check me,"['Дума', 'поддержала', 'инициативу']",дума,поддержала,инициативу,,,,,2,дума,,4,поддержать,,6,инициатива,,,,,,,,,,,,,
140,Курганская городская дума поддержала инициативу .,Дума поддержала инициативу,Дума поддержала инициативу,3,check me,"['Дума', 'поддержала', 'инициативу']",дума,поддержала,инициативу,,,,,2,дума,,4,поддержать,,6,инициатива,,,,,,,,,,,,,
141,Большую часть населения составляли евреи .,Евреи составляли часть,Евреи составляли часть населения,4,Subject - Verb - Object - Gen,"['Евреи', 'составляли', 'часть', 'населения']",евреи,составляли,часть,населения,,,,3,еврей,,4,составлять,160.93738556131564,1,часть,613.1660177036999,5.0,население,137.27601397222688,,,,,,,,,
142,"Как ожидается , компанию ждут структурные изменения .",Ждут изменения,Изменения ждут компанию,3,Subject - Verb - Object,"['Изменения', 'ждут', 'компанию']",изменения,ждут,компанию,,,,,5,изменение,108.33489840665632,1,ждать,326.9088213986394,4,компания,178.3762971275402,,,,,,,,,,,,
143,Деньги женщина несла в кармане куртки .,Женщина несла деньги,Женщина несла деньги,3,Subject - Verb - Object,"['Женщина', 'несла', 'деньги']",женщина,несла,деньги,,,,,3,женщина,494.85114800715365,2,нести,112.18855068691084,2,деньга,,,,,,,,,,,,,
144,Деньги женщина несла в кармане куртки .,Женщина несла деньги,Женщина несла деньги в кармане,5,Subject - Verb - Object - PP,"['Женщина', 'несла', 'деньги', 'в', 'кармане']",женщина,несла,деньги,,,в,кармане,3,женщина,494.85114800715365,2,нести,112.18855068691084,2,деньга,,,,,,,,0.0,в,,3.0,карман,107.6939583184643
145,Женщина обвинила мужчину в низком заработке .,Женщина обвинила мужчину,Женщина обвинила мужчину,3,Subject - Verb - Object,"['Женщина', 'обвинила', 'мужчину']",женщина,обвинила,мужчину,,,,,3,женщина,494.85114800715365,4,обвинить,,3,мужчина,175.95674829461532,,,,,,,,,,,,
146,Женщина получила незначительный ожог ноги .,Женщина получила ожог,Женщина получила ожог ноги,4,Subject - Verb - Object - Gen,"['Женщина', 'получила', 'ожог', 'ноги']",женщина,получила,ожог,ноги,,,,3,женщина,494.85114800715365,4,получить,552.8909435766419,2,ожог,,2.0,нога,477.5190597889611,,,,,,,,,
147,"Как правило , эти животные избегают человека .",Животные избегают человека,Животные избегают человека,3,Subject - Verb - Object,"['Животные', 'избегают', 'человека']",животные,избегают,человека,,,,,4,животное,104.3503875250626,4,избегать,,4,человек,2881.103143350457,,,,,,,,,,,,
148,Полицию вызвали жильцы близлежащего дома .,Жильцы вызвали полицию,Жильцы вызвали полицию,3,Subject - Verb - Object,"['Жильцы', 'вызвали', 'полицию']",жильцы,вызвали,полицию,,,,,2,жилец,,3,вызвать,144.83109526179032,4,полиция,,,,,,,,,,,,,
149,Местные жители раскритиковали подобный запрет .,Жители раскритиковали запрет,Жители раскритиковали подобный запрет,4,Subject - Verb - Adj - Object,"['Жители', 'раскритиковали', 'подобный', 'запрет']",жители,раскритиковали,запрет,,подобный,,,3,житель,113.23274891392369,6,раскритиковать,,2,запрет,,,,,3.0,подобный,292.1485039490255,,,,,,
150,Лишилась крупной суммы также жительница Псковского района .,Жительница лишилась суммы,Жительница лишилась крупной суммы,4,Subject - Verb - Adj - Object,"['Жительница', 'лишилась', 'крупной', 'суммы']",жительница,лишилась,суммы,,крупной,,,4,жительница,,3,лишиться,,2,сумма,,,,,2.0,крупный,170.63160439521997,,,,,,
151,Сам журналист пока не прокомментировал ситуацию .,Журналист прокомментировал ситуацию,Журналист прокомментировал ситуацию,3,Subject - Verb - Object,"['Журналист', 'прокомментировал', 'ситуацию']",журналист,прокомментировал,ситуацию,,,,,3,журналист,,6,прокомментировать,,5,ситуация,126.82601995099613,,,,,,,,,,,,
152,Журналисты холдинга ведут собственное расследование .,Журналисты ведут расследование,Журналисты ведут собственное расследование,4,Subject - Verb - Adj - Object,"['Журналисты', 'ведут', 'собственное', 'расследование']",журналисты,ведут,расследование,,собственное,,,4,журналист,,2,вести,331.68382505567,6,расследование,,,,,4.0,собственный,282.2913795093724,,,,,,
153,Журналисты не раскрыли источник этой информации .,Журналисты раскрыли источник,Журналисты раскрыли источник информации,4,Subject - Verb - Object - Gen,"['Журналисты', 'раскрыли', 'источник', 'информации']",журналисты,раскрыли,источник,информации,,,,4,журналист,,3,раскрыть,,3,источник,104.17679958451058,5.0,информация,115.45200396928855,,,,,,,,,
154,"Как установлено , бумаги подписывала заведующая отделом .",Заведующая подписывала бумаги,Заведующая подписывала бумаги,3,Subject - Verb - Object,"['Заведующая', 'подписывала', 'бумаги']",заведующая,подписывала,бумаги,,,,,6,заведовать,,5,подписывать,,3,бумага,169.7129236021447,,,,,,,,,,,,
155,В постсоветское время завод дважды пережил банкротство .,Завод пережил банкротство,Завод пережил банкротство,3,Subject - Verb - Object,"['Завод', 'пережил', 'банкротство']",завод,пережил,банкротство,,,,,2,завод,163.5251811673909,3,пережить,,3,банкротство,,,,,,,,,,,,,
156,Закон не запрещает употребление алкоголя .,Закон запрещает употребление,Закон запрещает употребление алкоголя,4,Subject - Verb - Object - Gen,"['Закон', 'запрещает', 'употребление', 'алкоголя']",закон,запрещает,употребление,алкоголя,,,,2,закон,296.9689075289697,4,запрещать,,6,употребление,,4.0,алкоголь,,,,,,,,,,
157,Среди прочего законопроект регламентирует свадебные церемонии .,Законопроект регламентирует церемонии,Законопроект регламентирует свадебные церемонии,4,Subject - Verb - Adj - Object,"['Законопроект', 'регламентирует', 'свадебные', 'церемонии']",законопроект,регламентирует,церемонии,,свадебные,,,5,законопроект,,6,регламентировать,,5,церемония,,,,,4.0,свадебный,,,,,,,
158,Здание гостиного дома имело весьма необычную планировку .,Здание имело планировку,Здание имело необычную планировку,4,Subject - Verb - Adj - Object,"['Здание', 'имело', 'необычную', 'планировку']",здание,имело,планировку,,необычную,,,3,здание,118.23475218552224,3,иметь,1048.0946086323013,4,планировка,,,,,5.0,необычный,,,,,,,
159,"По предварительной информации , мужчину подвело здоровье .",Здоровье подвело мужчину,Здоровье подвело мужчину,3,Subject - Verb - Object,"['Здоровье', 'подвело', 'мужчину']",здоровье,подвело,мужчину,,,,,3,здоровье,99.93591266764004,3,подвести,,3,мужчина,175.95674829461532,,,,,,,,,,,,
160,"По предварительной информации , мужчину подвело здоровье .",Здоровье подвело мужчину,Здоровье подвело мужчину,3,Subject - Verb - Object,"['Здоровье', 'подвело', 'мужчину']",здоровье,подвело,мужчину,,,,,3,здоровье,99.93591266764004,3,подвести,,3,мужчина,175.95674829461532,,,,,,,,,,,,
161,Новое землетрясение вызвало панику у местных жителей .,Землетрясение вызвало панику,Землетрясение вызвало панику жителей,4,Subject - Verb - Object - Gen,"['Землетрясение', 'вызвало', 'панику', 'жителей']",землетрясение,вызвало,панику,жителей,,,,6,землетрясение,,3,вызвать,144.83109526179032,3,паника,,3.0,житель,113.23274891392369,,,,,,,,,
162,Новое землетрясение вызвало панику у местных жителей .,Землетрясение вызвало панику,Землетрясение вызвало панику жителей,4,Subject - Verb - Object - Gen,"['Землетрясение', 'вызвало', 'панику', 'жителей']",землетрясение,вызвало,панику,жителей,,,,6,землетрясение,,3,вызвать,144.83109526179032,3,паника,,3.0,житель,113.23274891392369,,,,,,,,,
163,Труп злоумышленник спрятал в погребе на веранде .,Злоумышленник спрятал труп,Злоумышленник спрятал труп,3,Subject - Verb - Object,"['Злоумышленник', 'спрятал', 'труп']",злоумышленник,спрятал,труп,,,,,5,злоумышленник,,2,спрятать,,1,труп,,,,,,,,,,,,,
164,Злоумышленники вскрыли капот моторного отсека .,Злоумышленники вскрыли капот,Злоумышленники вскрыли капот,3,Subject - Verb - Object,"['Злоумышленники', 'вскрыли', 'капот']",злоумышленники,вскрыли,капот,,,,,6,злоумышленник,,2,вскрыть,,2,капот,,,,,,,,,,,,,
165,Тогда у потерпевшего злоумышленники забрали сотовый телефон .,Злоумышленники забрали телефон,Злоумышленники забрали телефон,3,Subject - Verb - Object,"['Злоумышленники', 'забрали', 'телефон']",злоумышленники,забрали,телефон,,,,,6,злоумышленник,,3,забрать,,3,телефон,119.7249378905687,,,,,,,,,,,,
166,Жену Бойко злоумышленники связали скотчем .,Злоумышленники связали жену,Злоумышленники связали жену,3,Subject - Verb - Object,"['Злоумышленники', 'связали', 'жену']",злоумышленники,связали,жену,,,,,6,злоумышленник,,3,связать,190.9120170190958,2,жена,420.87597949499127,,,,,,,,,,,,
167,Жену Бойко злоумышленники связали скотчем .,Злоумышленники связали жену,Злоумышленники связали жену,3,Subject - Verb - Object,"['Злоумышленники', 'связали', 'жену']",злоумышленники,связали,жену,,,,,6,злоумышленник,,3,связать,190.9120170190958,2,жена,420.87597949499127,,,,,,,,,,,,
168,В финале зрители определяют победителя сезона .,Зрители определяют победителя,Зрители определяют победителя сезона,4,Subject - Verb - Object - Gen,"['Зрители', 'определяют', 'победителя', 'сезона']",зрители,определяют,победителя,сезона,,,,3,зритель,,5,определять,98.5285150573184,5,победитель,,3.0,сезон,,,,,,,,,,
169,Игра получила средние отзывы критиков и игроков .,Игра получила отзывы,Игра получила средние отзывы,4,Subject - Verb - Adj - Object,"['Игра', 'получила', 'средние', 'отзывы']",игра,получила,отзывы,,средние,,,2,игра,150.42863869866727,4,получить,552.8909435766419,3,отзыв,,,,,3.0,средний,139.18014015089733,,,,,,
170,Игра получила довольно положительные отзывы .,Игра получила отзывы,Игра получила положительные отзывы,4,Subject - Verb - Adj - Object,"['Игра', 'получила', 'положительные', 'отзывы']",игра,получила,отзывы,,положительные,,,2,игра,150.42863869866727,4,получить,552.8909435766419,3,отзыв,,,,,6.0,положительный,42.77740971941579,,,,,,
171,После этого игра приняла нервный характер .,Игра приняла характер,Игра приняла нервный характер,4,Subject - Verb - Adj - Object,"['Игра', 'приняла', 'нервный', 'характер']",игра,приняла,характер,,нервный,,,2,игра,150.42863869866727,3,принять,384.7456526068669,3,характер,202.9910670978146,,,,2.0,нервный,47.58980154825755,,,,,,
172,Избранник народа и мужчина устроили драку .,Мужчина устроили драку,Мужчина устроили драку,3,Subject - Verb - Object,"['Мужчина', 'устроили', 'драку']",мужчина,устроили,драку,,,,,3,мужчина,175.95674829461532,4,устроить,128.7034402926586,2,драка,,,,,,,,,,,,,
173,"Кроме того , издание подсчитало доходы тренеров .",Издание подсчитало доходы,Издание подсчитало доходы тренеров,4,Subject - Verb - Object - Gen,"['Издание', 'подсчитало', 'доходы', 'тренеров']",издание,подсчитало,доходы,тренеров,,,,4,издание,,4,подсчитать,,3,доход,,3.0,тренер,,,,,,,,,,
174,Подробности издание сообщает на своем сайте .,Издание сообщает подробности,Издание сообщает подробности,3,Subject - Verb - Object,"['Издание', 'сообщает', 'подробности']",издание,сообщает,подробности,,,,,4,издание,,4,сообщать,75.27307219075124,4,подробность,,,,,,,,,,,,,
175,Подробности издание сообщает на своем сайте .,Издание сообщает подробности,Издание сообщает подробности на сайте,5,Subject - Verb - Object - PP,"['Издание', 'сообщает', 'подробности', 'на', 'сайте']",издание,сообщает,подробности,,,на,сайте,4,издание,,4,сообщать,75.27307219075124,4,подробность,,,,,,,,1.0,на,,2.0,сайт,
176,Изображение рыбы символизирует богатство природы .,Изображение символизирует богатство,Изображение символизирует богатство природы,4,Subject - Verb - Object - Gen,"['Изображение', 'символизирует', 'богатство', 'природы']",изображение,символизирует,богатство,природы,,,,6,изображение,,6,символизировать,,3,богатство,,3.0,природа,205.01002837561947,,,,,,,,,
177,Изобретение уже привлекло внимание инвесторов .,Изобретение привлекло внимание,Изобретение привлекло внимание инвесторов,4,Subject - Verb - Object - Gen,"['Изобретение', 'привлекло', 'внимание', 'инвесторов']",изобретение,привлекло,внимание,инвесторов,,,,6,изобретение,,3,привлечь,,4,внимание,276.886118098953,4.0,инвестор,,,,,,,,,,
178,После этой победы израильтяне окончательно остановили контрнаступление .,Израильтяне остановили контрнаступление,Израильтяне остановили контрнаступление,3,Subject - Verb - Object,"['Израильтяне', 'остановили', 'контрнаступление']",израильтяне,остановили,контрнаступление,,,,,5,израильтянин,,5,остановить,71.95353665065674,6,контрнаступление,,,,,,,,,,,,,
179,После этой победы израильтяне окончательно остановили контрнаступление .,Израильтяне остановили контрнаступление,Израильтяне остановили контрнаступление,3,Subject - Verb - Object,"['Израильтяне', 'остановили', 'контрнаступление']",израильтяне,остановили,контрнаступление,,,,,5,израильтянин,,5,остановить,71.95353665065674,6,контрнаступление,,,,,,,,,,,,,
180,В ответ израильтяне открыли артиллерийский огонь .,Израильтяне открыли огонь,Израильтяне открыли артиллерийский огонь,4,Subject - Verb - Adj - Object,"['Израильтяне', 'открыли', 'артиллерийский', 'огонь']",израильтяне,открыли,огонь,,артиллерийский,,,5,израильтянин,,3,открыть,208.18001122846917,2,огонь,199.3884496854353,,,,5.0,артиллерийский,,,,,,,
181,Получили ли израильтяне дополнительные гарантии .,Израильтяне получили гарантии,Израильтяне получили дополнительные гарантии,4,Subject - Verb - Adj - Object,"['Израильтяне', 'получили', 'дополнительные', 'гарантии']",израильтяне,получили,гарантии,,дополнительные,,,5,израильтянин,,4,получить,552.8909435766419,4,гарантия,,,,,6.0,дополнительный,45.9794395766751,,,,,,
182,Израильтяне пока проверяют эту информацию .,Израильтяне проверяют информацию,Израильтяне проверяют информацию,3,Subject - Verb - Object,"['Израильтяне', 'проверяют', 'информацию']",израильтяне,проверяют,информацию,,,,,5,израильтянин,,4,проверять,,5,информация,115.45200396928855,,,,,,,,,,,,
183,Из подсолнечника индейцы также извлекали пурпурную краску .,Индейцы извлекали краску,Индейцы извлекали пурпурную краску,4,Subject - Verb - Adj - Object,"['Индейцы', 'извлекали', 'пурпурную', 'краску']",индейцы,извлекали,краску,,пурпурную,,,3,индеец,,4,извлекать,,2,краска,,,,,4.0,пурпурный,,,,,,,
184,Возмущённые и голодные индейцы подняли восстание .,Индейцы подняли восстание,Индейцы подняли восстание,3,Subject - Verb - Object,"['Индейцы', 'подняли', 'восстание']",индейцы,подняли,восстание,,,,,3,индеец,,3,поднять,181.0896101675531,4,восстание,,,,,,,,,,,,,
185,Возмущённые и голодные индейцы подняли восстание .,Индейцы подняли восстание,Индейцы подняли восстание,3,Subject - Verb - Object,"['Индейцы', 'подняли', 'восстание']",индейцы,подняли,восстание,,,,,3,индеец,,3,поднять,181.0896101675531,4,восстание,,,,,,,,,,,,,
186,Инициатива не получила поддержку чиновников .,Инициатива получила поддержку,Инициатива получила поддержку чиновников,4,Subject - Verb - Object - Gen,"['Инициатива', 'получила', 'поддержку', 'чиновников']",инициатива,получила,поддержку,чиновников,,,,6,инициатива,,4,получить,552.8909435766419,3,поддержка,,4.0,чиновник,,,,,,,,,,
187,Инспекторы строительного надзора оценивают состояние пострадавшего здания .,Инспекторы оценивают состояние,Инспекторы оценивают состояние здания,4,Subject - Verb - Object - Gen,"['Инспекторы', 'оценивают', 'состояние', 'здания']",инспекторы,оценивают,состояние,здания,,,,4,инспектор,,5,оценивать,,5,состояние,270.3431880319928,3.0,здание,118.23475218552224,,,,,,,,,
188,Позже исламисты опровергли гибель полевого командира .,Исламисты опровергли гибель,Исламисты опровергли гибель командира,4,Subject - Verb - Object - Gen,"['Исламисты', 'опровергли', 'гибель', 'командира']",исламисты,опровергли,гибель,командира,,,,4,исламист,,4,опровергнуть,,2,гибель,,4.0,командир,116.3920494319702,,,,,,,,,
189,Новое оборудование уже прошло успешные испытания .,Испытания прошло,Оборудование прошло успешные испытания,4,Subject - Verb - Adj - Object,"['Оборудование', 'прошло', 'успешные', 'испытания']",оборудование,прошло,испытания,,успешные,,,7,оборудование,,2,пройти,391.3072767597327,5,испытание,,,,,4.0,успешный,,,,,,,
190,Однако исследователи продолжили детальное изучение изображения .,Исследователи продолжили изучение,Исследователи продолжили изучение изображения,4,Subject - Verb - Object - Gen,"['Исследователи', 'продолжили', 'изучение', 'изображения']",исследователи,продолжили,изучение,изображения,,,,6,исследователь,,4,продолжить,,5,изучение,,6.0,изображение,,,,,,,,,,
191,Однако источники издания подтвердили подлинность документа .,Источники подтвердили подлинность,Источники подтвердили подлинность документа,4,Subject - Verb - Object - Gen,"['Источники', 'подтвердили', 'подлинность', 'документа']",источники,подтвердили,подлинность,документа,,,,4,источник,104.17679958451058,4,подтвердить,,3,подлинность,,4.0,документ,121.57031122782156,,,,,,,,,
192,Длинноволосого высокого мужчину запечатлели камеры наблюдения .,Камеры запечатлели мужчину,Камеры запечатлели высокого мужчину,4,Subject - Verb - Adj - Object,"['Камеры', 'запечатлели', 'высокого', 'мужчину']",камеры,запечатлели,мужчину,,высокого,,,3,камера,,5,запечатлеть,,3,мужчина,175.95674829461532,,,,4.0,высокий,393.2861792820256,,,,,,
193,Трансляцию мероприятия вел Первый канал .,Канал вел трансляцию,Канал вел трансляцию мероприятия,4,Subject - Verb - Object - Gen,"['Канал', 'вел', 'трансляцию', 'мероприятия']",канал,вел,трансляцию,мероприятия,,,,2,канал,,1,вести,331.68382505567,4,трансляция,,6.0,мероприятие,,,,,,,,,,
194,Вскоре после нападения канал возобновил работу .,Канал возобновил работу,Канал возобновил работу,3,Subject - Verb - Object,"['Канал', 'возобновил', 'работу']",канал,возобновил,работу,,,,,2,канал,,4,возобновить,,3,работа,852.0897884957798,,,,,,,,,,,,
195,Остальные семь кандидатов представляют мелкие партии .,Кандидатов представляют партии,Кандидаты представляют мелкие партии,4,Subject - Verb - Adj - Object,"['Кандидаты', 'представляют', 'мелкие', 'партии']",кандидаты,представляют,партии,,мелкие,,,4,кандидат,,4,представлять,218.40033505143109,3,партия,217.70865387292383,,,,3.0,мелкий,126.4708323187897,,,,,,
196,Клюв также имеет коричневатую окраску .,Клюв имеет окраску,Клюв имеет коричневатую окраску,4,Subject - Verb - Adj - Object,"['Клюв', 'имеет', 'коричневатую', 'окраску']",клюв,имеет,окраску,,коричневатую,,,1,клюв,,3,иметь,1048.0946086323013,3,окраска,,,,,6.0,коричневатый,,,,,,,
197,Книга получила большое признание в профессиональной среде .,Книга получила признание,Книга получила большое признание,4,Subject - Verb - Adj - Object,"['Книга', 'получила', 'большое', 'признание']",книга,получила,признание,,большое,,,2,книга,472.97906749760097,4,получить,552.8909435766419,4,признание,,,,,3.0,большой,993.1259843187332,,,,,,
198,Книга произвела огромное впечатление на итальянцев .,Книга произвела впечатление,Книга произвела огромное впечатление,4,Subject - Verb - Adj - Object,"['Книга', 'произвела', 'огромное', 'впечатление']",книга,произвела,впечатление,,огромное,,,2,книга,472.97906749760097,4,произвести,110.6316003893444,5,впечатление,155.69770034034585,,,,4.0,огромный,269.45655424332716,,,,,,
